190.62|2328
190.89|2331
191.16|2334
191.43|2337
191.70|2341
191.97|2344
192.24|2347
192.51|2350
192.79|2353
193.06|2356
193.33|2360
193.60|2363
193.87|2366
194.14|2369
194.41|2372
194.69|2375
194.96|2379
195.23|2382
195.50|2385
195.77|2388
196.04|2391
196.31|2394
196.59|2398
196.86|2401
197.13|2404
197.40|2407
197.67|2410
197.94|2413
198.22|2417
198.49|2420
198.76|2423
199.03|2426
199.30|2429
199.58|2432
199.85|2436
200.12|2439
